PlotNum,CoverType,TreeNum,DBH,HT
225,Red pine,10,15,91
225,Red pine,15,14.3,90
225,Red pine,16,15.1,92
225,Red pine,25,15.3,76
225,Red pine,29,10.9,82
227,Jack pine,6,22.8,91
227,Jack pine,43,16.4,76
228,Red pine,2,13.2,76
228,Red pine,5,16.5,81
228,Red pine,9,17.3,85
228,Red pine,22,13.8,83
228,Red pine,42,12.8,79
228,Red pine,43,11.9,79
228,Red pine,48,10.9,84
231,Red pine,4,23,100
231,Red pine,13,21.8,107
231,Red pine,14,23.8,106
231,Red pine,15,22.5,108
233,Red pine,25,14.2,71
233,Red pine,58,5.5,42
233,Red pine,59,7.2,57
236,Red pine,3,24.4,100
236,Red pine,4,21.3,107
236,Red pine,7,26.1,112
238,Red pine,1,22.3,98
238,Red pine,2,22.2,103
242,Red pine,47,12.8,63
242,Red pine,48,14.6,67
242,Red pine,50,15.2,49
242,Red pine,52,16,57
242,Red pine,56,14.2,59
242,Red pine,58,12.8,51
248,Red pine,7,16.8,58
248,Red pine,17,12.8,94
248,Red pine,18,14.7,95
248,Red pine,25,16.8,101
249,Red pine,32,9.9,56.6
249,Red pine,52,10,57
249,Red pine,53,10.2,45
274,Paper birch,22,14.1,35
275,Aspen,4,27.8,88
304,Red pine,103,8.8,41
304,Red pine,138,11.1,49
305,Red pine,67,9.2,69
305,Red pine,72,6.1,54
305,Red pine,74,8.8,62
306,Red pine,1,17.2,93
306,Red pine,20,26.2,101
306,Red pine,21,19.7,91
306,Red pine,31,18.9,84
308,Red pine,8,18,95
308,Red pine,11,15.8,95
308,Red pine,12,18.5,98
308,Red pine,15,19.5,97
308,Red pine,21,22.8,96
310,Cut,33,22.5,89
313,Aspen,2,12.4,53
313,Aspen,23,22.4,99
313,Aspen,32,16.5,63
313,Aspen,41,14.4,77
314,Red pine,3,17.1,81
314,Red pine,7,18.7,79
314,Red pine,34,17.8,101
314,Red pine,35,15,90
315,Red pine,38,14.6,68
315,Red pine,41,13.2,66
315,Red pine,45,9.3,52
315,Red pine,72,4.6,17.9
315,Red pine,73,9,49
316,Red pine,10,28.3,62
320,Red pine,2,27,114
320,Red pine,4,23.1,95
320,Red pine,7,24.8,116
320,Red pine,8,22.3,110
321,Aspen,29,8,39
322,Red pine,17,10.5,48
322,Red pine,28,12.2,52
323,Red pine,73,10.9,53
323,Red pine,76,11.6,54
323,Red pine,78,11.9,58
323,Red pine,111,10,54
324,Red pine,43,8.1,41
324,Red pine,60,7.8,42
325,Red pine,39,12.3,67
325,Red pine,40,4.5,46
325,Red pine,44,10.1,61.5
325,Red pine,47,10.7,68
328,Aspen,34,4.4,32
329,Red pine,23,15.9,103
329,Red pine,28,14.9,95
329,Red pine,31,14.7,97
329,Red pine,37,14.9,105
329,Red pine,44,15.3,77
330,Grass,8,9.5,70
331,White spruce,42,15.6,81
333,Red pine,2,13.6,71
333,Red pine,3,14.9,95
333,Red pine,17,17.8,98
333,Red pine,22,17.3,102
333,Red pine,30,17.2,97
333,Red pine,35,13.5,96
333,Red pine,59,11.3,85
334,Red pine,2,20.7,100
334,Red pine,10,16.1,82
334,Red pine,37,14.7,89
335,Red pine,34,14.9,80
335,Red pine,40,14,90
335,Red pine,58,17.4,90
335,Red pine,68,10.5,84
335,Red pine,71,6.3,56
338,Red pine,1,8.4,66
338,Red pine,2,14.1,75
338,Red pine,3,12.6,73
338,Red pine,20,14.2,70
339,Red pine,1,20.3,90
339,Red pine,31,19.9,95
339,Red pine,49,15.5,88
340,Red pine,1,25.8,97
340,Red pine,12,21.9,93
340,Red pine,18,20.6,120
340,Red pine,19,20.6,101
341,Red pine,6,18.5,100
341,Red pine,8,21.9,95
341,Red pine,10,16.8,87
341,Red pine,12,23.3,90
343,Red pine,6,14.6,91
343,Red pine,8,13.1,93
343,Red pine,48,13,88
343,Red pine,58,3.5,35
345,Aspen,5,25,88
346,Right of way,43,15,73
346,Right of way,44,11.5,74
347,Red pine,24,19.6,76
348,Aspen,24,15.2,78
348,Aspen,28,13.7,65
348,Aspen,32,10.4,37
349,Aspen,72,13,53
349,Aspen,111,6.7,47
352,Red pine,27,11.8,57
352,Red pine,28,9.4,56
352,Red pine,38,9.6,33
352,Red pine,39,10.4,35
352,Red pine,40,9.9,50
352,Red pine,51,8,48
352,Red pine,75,9.5,49
375,Right of way,79,12,47
375,Right of way,88,11,45
382,Right of way,3,13.2,61.7
382,Right of way,4,15.2,54.9
400,Cut,8,17.5,85
400,Cut,31,15.5,85
800,Red pine,6,8,24
800,Red pine,8,6.1,22
